"","x"
"896","SPAC869.05c"
"897","SPAC869.11"
"898","SPAC890.04c"
"899","SPAC890.06"
"900","SPAC890.07c"
"901","SPAC890.08"
"902","SPAC8C9.03"
"903","SPAC8C9.04"
"904","SPAC8C9.05"
"905","SPAC8C9.08"
"906","SPAC8C9.10c"
"907","SPAC8C9.14"
"908","SPAC8C9.15c"
"909","SPAC8C9.16c"
"910","SPAC8E11.02c"
"911","SPAC8E11.05c"
"912","SPAC8E11.10"
"913","SPAC8F11.04"
"914","SPAC8F11.06"
"915","SPAC9.02c"
"916","SPAC9.03c"
"917","SPAC9.07c"
"918","SPAC9.09"
"919","SPAC9.10"
"920","SPAC9.13c"
"921","SPAC922.03"
"922","SPAC922.04"
"923","SPAC922.07c"
"924","SPAC926.04c"
"925","SPAC926.07c"
"926","SPAC926.08c"
"927","SPAC926.09c"
"928","SPAC959.02"
"929","SPAC959.03c"
"930","SPAC959.07"
"931","SPAC977.12"
"932","SPAC977.16c"
"933","SPAC9E9.03"
"934","SPAC9E9.04"
"935","SPAC9E9.07c"
"936","SPAC9E9.09c"
"937","SPAC9E9.11"
"938","SPAC9E9.13"
"939","SPAC9G1.03c"
"940","SPAC9G1.04"
"941","SPAC9G1.05"
"942","SPAC9G1.06c"
"943","SPAC9G1.11c"
"944","SPAC9G1.12"
"945","SPACUNK4.06c"
"946","SPACUNK4.07c"
"947","SPACUNK4.10"
"948","SPACUNK4.12c"
"949","SPACUNK4.14"
"950","SPACUNK4.16c"
"951","SPACUNK4.17"
"952","SPAP11E10.01"
"953","SPAP27G11.03"
"954","SPAP27G11.09c"
"955","SPAP27G11.10c"
"956","SPAP27G11.13c"
"957","SPAP32A8.02"
"958","SPAP7G5.04c"
"959","SPAP7G5.05"
"960","SPAP7G5.06"
"961","SPAP8A3.03"
"962","SPAP8A3.04c"
"963","SPAP8A3.06"
"964","SPAP8A3.07c"
"965","SPAP8A3.08"
"966","SPAP8A3.09c"
"967","SPAP8A3.14c"
"968","SPAPB17E12.11"
"969","SPAPB17E12.13"
"970","SPAPB17E12.14c"
"971","SPAPB1A10.10c"
"972","SPAPB1A10.12c"
"973","SPAPB1A10.13"
"974","SPAPB1A10.16"
"975","SPAPB1E7.07"
"976","SPAPB1E7.09"
"977","SPAPB1E7.12"
"978","SPAPB1E7.14"
"979","SPAPB21F2.02"
"980","SPAPB24D3.06c"
"981","SPAPB24D3.07c"
"982","SPAPB24D3.08c"
"983","SPAPB24D3.09c"
"984","SPAPB2B4.02"
"985","SPAPB2B4.05"
"986","SPAPB2B4.07"
"987","SPAPB2C8.01"
"988","SPAPB8E5.02c"
"989","SPAPB8E5.03"
"990","SPAPB8E5.04c"
